File,Key,Action,Value Preview,ICU Warning
intl_en.arb,@calendar_no_events,Added,"OrderedDict([('description', 'Message aucun événem",
intl_en.arb,@calendar_events_of,Added,"OrderedDict([('description', 'Titre événements du ",
intl_en.arb,@calendar_section_plantings,Added,"OrderedDict([('description', 'Titre section planta",
intl_en.arb,@calendar_section_harvests,Added,"OrderedDict([('description', 'Titre section récolt",
intl_en.arb,@calendar_section_tasks,Added,"OrderedDict([('description', 'Titre section tâches",
intl_en.arb,@calendar_filter_tasks,Added,"OrderedDict([('description', 'Filtre tâches')])",
intl_en.arb,@calendar_filter_maintenance,Added,"OrderedDict([('description', 'Filtre entretien')])",
intl_en.arb,@calendar_filter_harvests,Added,"OrderedDict([('description', 'Filtre récoltes')])",
intl_en.arb,@calendar_filter_urgent,Added,"OrderedDict([('description', 'Filtre urgences')])",
intl_en.arb,@settings_backup_restore_section,Added,"OrderedDict([('description', 'Titre section sauveg",
intl_en.arb,@settings_backup_restore_subtitle,Added,"OrderedDict([('description', 'Sous-titre section s",
intl_en.arb,@settings_backup_action,Added,"OrderedDict([('description', 'Bouton créer sauvega",
intl_en.arb,@settings_restore_action,Added,"OrderedDict([('description', 'Bouton restaurer sau",
intl_en.arb,@settings_backup_creating,Added,"OrderedDict([('description', 'Loading sauvegarde')",
intl_en.arb,@settings_backup_success,Added,"OrderedDict([('description', 'Succès sauvegarde')]",
intl_en.arb,@settings_restore_warning_title,Added,"OrderedDict([('description', 'Titre warning restau",
intl_en.arb,@settings_restore_warning_content,Added,"OrderedDict([('description', 'Contenu warning rest",
intl_en.arb,@settings_restore_success,Added,"OrderedDict([('description', 'Succès restauration'",
intl_en.arb,@settings_backup_error,Added,"OrderedDict([('description', 'Erreur sauvegarde'),",
intl_en.arb,@settings_restore_error,Added,"OrderedDict([('description', 'Erreur restauration'",
intl_en.arb,@activity_screen_title,Added,"OrderedDict([('description', ""Titre de l'écran des",
intl_en.arb,@activity_tab_recent_garden,Added,"OrderedDict([('description', 'Titre onglet récente",
intl_en.arb,@activity_tab_recent_global,Added,"OrderedDict([('description', 'Titre onglet récente",
intl_en.arb,@activity_tab_history,Added,"OrderedDict([('description', 'Titre onglet histori",
intl_en.arb,@activity_history_section_title,Added,"OrderedDict([('description', 'Titre section histor",
intl_en.arb,@activity_history_empty,Added,"OrderedDict([('description', 'Message vide histori",
intl_en.arb,@activity_empty_title,Added,"OrderedDict([('description', 'Titre vide activités",
intl_en.arb,@activity_empty_subtitle,Added,"OrderedDict([('description', 'Sous-titre vide acti",
intl_en.arb,@activity_error_loading,Added,"OrderedDict([('description', 'Erreur chargement')]",
intl_en.arb,@activity_priority_important,Added,"OrderedDict([('description', 'Priorité importante'",
intl_en.arb,@activity_priority_normal,Added,"OrderedDict([('description', 'Priorité normale')])",
intl_en.arb,@activity_time_just_now,Added,"OrderedDict([('description', ""Temps: à l'instant"")",
intl_en.arb,@activity_time_minutes_ago,Added,"OrderedDict([('description', 'Temps: minutes'), ('",
intl_en.arb,@activity_time_hours_ago,Added,"OrderedDict([('description', 'Temps: heures'), ('p",
intl_en.arb,@activity_time_days_ago,Added,"OrderedDict([('description', 'Temps: jours'), ('pl",
intl_en.arb,@activity_metadata_garden,Added,"OrderedDict([('description', 'Metadata jardin'), (",
intl_en.arb,@activity_metadata_bed,Added,"OrderedDict([('description', 'Metadata parcelle'),",
intl_en.arb,@activity_metadata_plant,Added,"OrderedDict([('description', 'Metadata plante'), (",
intl_en.arb,@activity_metadata_quantity,Added,"OrderedDict([('description', 'Metadata quantité'),",
intl_en.arb,@activity_metadata_date,Added,"OrderedDict([('description', 'Metadata date'), ('p",
intl_en.arb,@activity_metadata_maintenance,Added,"OrderedDict([('description', 'Metadata maintenance",
intl_en.arb,@activity_metadata_weather,Added,"OrderedDict([('description', 'Metadata météo'), ('",
intl_en.arb,@history_hint_title,Added,"OrderedDict([('description', 'Titre carte hint his",
intl_en.arb,@history_hint_body,Added,"OrderedDict([('description', 'Corps carte hint his",
intl_en.arb,@history_hint_action,Added,"OrderedDict([('description', 'Action carte hint hi",
intl_en.arb,@activity_desc_garden_created,Added,"OrderedDict([('description', 'Desc act création ja",
intl_en.arb,@activity_desc_bed_created,Added,"OrderedDict([('description', 'Desc act création pa",
intl_en.arb,@activity_desc_planting_created,Added,"OrderedDict([('description', 'Desc act création pl",
intl_en.arb,@activity_desc_germination,Added,"OrderedDict([('description', 'Desc act germination",
